NO;NO.INDUK KARYAWAN;AMOUNT
;C0610;100.000
;C0126;250.000
;C0663;250.000
;C0705;100.000
;C0709;250.000
;C0712;250.000
;C0719;250.000
;C0697;500.000
;C0702;187.500
;C0717;450.000
;C0053;600.000
;C0055;600.000
;C0071;600.000
;C0309;600.000
;C0587;600.000
;C0735;250.000
;C0737;100.000
;C0733;62.500
;C0739;41.667
;C 0653;250.000
;C 0105;600.000
;C 0557;250.000
;C 0127;600.000
;C 0125;250.000
;C 0115;100.000
;C 0352;250.000
;C 0353;250.000
;C 0114;100.000
;C 0122;100.000
;C 0121;250.000
;C 0349;250.000
;C 0130;250.000
;C 0649;250.000
;C 0650;100.000
;C 0633;100.000
;C 0636;600.000
;C 0707;600.000
;C 0693;600.000
;C 0701;208.333
;C 0722;350.000
;C 0724;145.833
;C 0726;145.833
;C 0431;600.000
;C 0079;600.000
;C 0081;250.000
;C 0082;100.000
;C 0083;100.000
;C 0084;100.000
;C 0085;100.000
;C 0086;100.000
;C 0091;100.000
;C 0092;100.000
;C 0093;600.000
;C 0096;600.000
;C 0098;100.000
;C 0099;600.000
;C 0100;250.000
;C 0101;250.000
;C 0448;100.000
;C 0449;100.000
;C 0453;100.000
;C 0454;100.000
;C 0132;250.000
;C 0452;600.000
;C 0182;900.000
;C 0187;900.000
;C 0188;900.000
;C 0743;900.000
;C 0181;900.000
;C 0699;900.000
;C0001;900.000
;C0002;600.000
;C0003;600.000
;C0005;250.000
;C0007;600.000
;C0008;600.000
;C0009;250.000
;C0010;250.000
;C0011;600.000
;C0013;250.000
;C0016;100.000
;C0019;600.000
;C0025;600.000
;C0026;600.000
;C0028;600.000
;C0030;600.000
;C0033;900.000
;C0102;600.000
;C0727;100.000
;C0710;600.000
;C0075;600.000
;C0716;250.000
;C0715;100.000
;C0616;100.000
;C0206;250.000
;C0729;150.000
;C0730;150.000
;C0731;150.000
;C0742;250.000
;C0178;900.000
;C0179;900.000
;C0510;900.000
;C0511;900.000
;C0526;600.000
;C0032;600.000
;C0050;600.000
;C0051;600.000
;C0054;600.000
;C0374;600.000
;C0496;600.000
;C0603;600.000
;C0680;600.000
;C0718;450.000
;C0319;250.000
;C0713;250.000
;C0738;100.000
;D0006;250.000
;D0041;900.000
;D0001;900.000
;D0364;900.000
;D0013;600.000
;D0014;900.000
;D0015;100.000
;D0017;100.000
;D0018;250.000
;D0019;600.000
;D0020;100.000
;D0023;600.000
;D0024;100.000
;D0026;100.000
;D0027;100.000
;D0028;100.000
;D0029;600.000
;D0030;100.000
;D0031;100.000
;D0037;100.000
;D0038;600.000
;D0291;600.000
;D0040;100.000
;D0061;250.000
;D0363;250.000
;D0049;250.000
;D0009;100.000
;D0304;100.000
;D0352;250.000
;D0083;100.000
;D0053;600.000
;D0055;900.000
;D0149;600.000
;D0145;900.000
;D0044;100.000
;D0057;250.000
;D0043;250.000
;D0330;600.000
;D0050;600.000
;D0054;600.000
;D0060;600.000
;D0051;250.000
;D0148;250.000
;D0211;600.000
;D0266;250.000
;D0328;600.000
;D0324;900.000
;D0350;250.000
;D0355;250.000
;D0366;900.000
;D0361;600.000
;D0093;600.000
;D0143;250.000
;D0144;250.000
;D0147;250.000
;D0146;250.000
;D0323;250.000
;D0004;600.000
;D0008;600.000
;D0260;600.000
;D0337;250.000
;D0135;600.000
;D0007;600.000
;D0070;600.000
;D0071;100.000
;D0075;100.000
;D0076;100.000
;D0078;600.000
;D0081;600.000
;D0082;250.000
;D0084;250.000
;D0085;100.000
;D0086;250.000
;D0087;250.000
;D0088;600.000
